country,code,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,AUS,0,-62288,-54960,-109920,-128240,-131904,-183200,-208848,-245488,-377392,278464,509296,355408,399376,267472,421360,696160,894016,732800,641200,600896,692496,707152,868368,890352,828064,930656,1066224,967296,1454608,2205728,1766048,2011536,2425568,2572128,2905552,2887232,3033792,3528432,3425840,3546752,4008416,4151312,3964448,4360160,4590992,4503056,4975712,5613248,5785456,10167600,11439008,11395040,11219168,11545264,12047232,14359216,15476736,16755472,14553408,17436976,19239664,20785872,22390704,24479184,21793472,19272640,20760224,22940304,21738512,25732272,23152816,24343616,24849248,27069632,28234784,27853728,28894304,26289200,23654784,22031632,19547440,20342528,21580960,22698480,25230304,27051312,28857664,28036928,32144272,29040864,34547856,36504432,34991200,34210768,32697536,35423552,38017664,38424368,37651264,54743824,59034368,60206848,59441072,67846288,70682224,73038176,74525760,77618176,83708157.14,88118899.96,90503896.04,94823455.35,100934264.5,108875766.6,120852668.9,120219302,129144211.7,134496899.7,142123802.5,147479768.6,152629536.2,157335544.7,170827394.5,172189386.2,175713926.1,174074696.8,187604866.3,201820178.7,204869575,220531000.6,230132643.2,233888646.4,224785013.7,236361192.4,240987972.4,239722218.6,255850223.7,260878795.5,277485607.8,278424375.7,279872363.9,284912124.3,289234856.5,294014610.4,305409799.3,312361210,320794696.4,334684106.5,344063336.2,350194581.8,357668742.8,362209093.8,369725552.8,383204650.9,386514916.7,392681873.2,400415409.4,405048537.2,408344935,406425942.1,404263695.1,406986984.9,398051591.1,393288531.8,402537564.9,413157391.7,417041277.9,420220856.1
Austria,AUT,2326640,2333968,2810288,3224320,3176688,3700640,4231920,4873120,7243728,5866064,6148192,6379024,6353376,5877056,5074640,5353104,3594384,4913424,6071248,6485280,7364640,10141952,10006384,10728192,9152672,7859280,8090112,7284032,7240064,8863216,23647456,10314160,10599952,11761440,11460992,12047232,11369392,12256080,11951968,12875296,13036512,14945456,14465472,17700784,18129472,20371840,21298832,23020912,24453536,24816272,27674192,28363024,25655328,25549072,26926736,28106544,33536592,42117680,58942768,42168976,57517472,48038704,49940320,59627936,48833792,34899600,8031488,3451488,3337904,3015472,14527760,19338592,18587472,17777728,20093376,18990512,18620448,20122688,21192576,24175072,18865936,18103824,15172624,14230976,13754656,13923200,13593440,15260560,5789120,6338720,7346320,7976528,8548112,9614336,9390832,4561680,12761712,17631168,24490176,26578656,20899456,23270064,22075600,21720192,24512160,29077504,28212800,29187424,28095552,27909903.47,30784479.38,31824045.04,33864980.85,36949059.84,38896434.3,38140552.25,39208596.17,39915571.57,42297140.26,44638406.63,50631700.39,52069179.97,56071357.85,60015805.43,57294545.72,54214103.59,58204316.42,55994277.18,57227183.76,61322076.16,52025742.43,55833757.77,53566181.62,51669185.97,54215068.21,54367336.71,53729617.77,57375057.21,52938496.02,53697630.87,62322640.68,65931472.72,60441603.21,60806132.49,61199346.4,64268215.85,67693638.91,67463627.56,67066652.76,65737030.78,66312842.49,70274684.54,72124006.24,77799097.38,77920833.63,79394850.33,77061035.13,74468959.64,73727000.03,67723782.44,72228293.07,70142559.72,67577133.99,68161179.77,64467368.23,66732861.95,67314878.4,69978846.91,68869885.74
Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19753839.27,20572957.12,21236359.16,22311411.38,23950176.48,25490777.74,27048478.92,28569890.01,29891720.97,30750161.03,32038475.23,33686010.03,35769603.76,37651878.41,39261264.67,40777310.08,42879126.03,44535582.21,46056763.16,47652821.14,48054394.43,49939813.01,49019445.12,49950273.47,50670838.72,51131413.51,55131096.22,55264916.11,55048883.36,56526290.1,55274887.37,51691082.6,50949795.1,56175800.24,48408339.69,41946559.55,33311115.04,31241611.9,29803858.97,31665039.65,28570228.62,29506320,28792684.75,29641854.11,30626724.52,32078145.48,34286420,39108615.8,30458371.28,35450600,31856630,30632888,32975683.6,35048364,35045993.89,36814149.29,37073857.28,37164759.82,36652072.69,36787994.07
Bahamas,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54960,65952,76944,80608,84272,128240,139232,175872,179536,260144,410368,545936,725472,707152,1084544,1315376,1091872,1700996.421,1627716.421,1740765.534,2568770.103,6723746.103,6481298.069,7862744.932,7379750.682,8246118.773,6457396.002,9708688.512,6597044.061,6915652.511,7972124.912,2798439.941,2258485.419,2014373.657,1853984,1509568,1410640,1421632,1538880,1945584,1839328,1842992,1850320,1758720,1747728,1740400,1729408,1527888,1908944,1952912,1949248,1868640,1927264,1963904,1971232,1828336,1777040,1795360,2359616,1604832,2385264,1799024,1905280,2868912,2348624,2015200,1784368,1799622.363,1812601.173
Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10992,120912,531280,1949248,3253632,3477136,3184016,2967840,2850592,2616096,2758992,2817616,3063104,3359888,3949792,4576336,4609312,1381328,1176144,1286064,996608,1044240,1403312,1055232,754784,1289728,1311712,575248,1769712,1590176,1194464,1597504,1227440,648528,1003936,1102864,1271408,2590448,3037456,3678656,5517984,5400736,5748816,6569552,7463568,7760352,8126752,7881264,8518800,9830512,8222016,9200304,10185920,11002992,11420688,12142558.99,11716745.85,12405381.15,11855329.08,10873837.04,14609781.84,14755641.13,14787087.46,15589628.98,17287727.06,18365542.27,17988113.31,18793786.65,14077545.45,15867706.19,16770622.68,17882450.33,19803020.94,19420104.19,26770051.89,29682446.87,28097529.42,29074850.99,28636686.2,27327584.54,31186876.92,31147857.52,32672081.52,31459705.04,31820018.62,31058949.84
Bangladesh,BGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840006.966,2211905.38,2290409.522,2516756.075,2893242.149,2974612.464,3121306.214,3176314.313,3371142.358,3865665.532,3749327.056,3803195.105,3605832.065,3505921.246,4549693.924,4653083.52,4856721.078,5555795.766,5784749.217,5984417.207,6612642.476,7597211.997,7886128.265,8552280.107,8188273.747,9077152.49,10189154.13,11405797.34,11799716.77,13478429.52,13382350.81,14081919.14,14741126.48,15379627.91,16062097.33,17537860.54,21041551.11,21492079.08,23126156.8,23198325.92,25075512.93,26524532.7,31034989.26,31980803.85,33458921.15,35944979.8,37676574.84,41689168,42642128,45300872,49148072,53991617.84,56556344,60691320,61781673.48,65978603.25,72834625.31,76003985.31,78884399.14,85692531.3
Barbados,BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664,3664,7328,3664,3664,3664,3664,0,0,0,0,3664,0,0,0,0,0,0,0,3664,3664,3664,73280,109920,87936,109920,113584,128240,128240,135568,150224,150224,172208,194192,260144,190528,179536,205184,267472,337088,439680,479984,428688,483648,501968,479984,490976,567920,531280,589904,630208,600896,674176,685168,644864,685168,747423.0168,846394.9281,916063.9796,941770.0241,945471.5076,989523.1838,1070168.557,1202126.701,974969.6404,1099331.695,740330.5361,806284.1772,824736.346,890938.2818,1100125.181,1162454.929,1151592,1186174.316,1199568,1245342.017,1269520,1319152,1342800,1362784,1612264,1597210.794,1464008,1515739.07,1459545.783,1438349.419,1244131.23,1244157.419,1266115.683,1269525.379,1282712.083
Belarus,BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43424157.2,45218740.33,46648686.22,48986693.92,52549470.91,55895093.72,59298273.35,62630295.29,65518604.57,67386586.88,70199612.75,73856158.21,78382861.95,82490988.32,85999596.49,89301703.25,93875080.02,97450961.98,100740875.4,104203714.7,105035574.5,109128917,107073418.6,109068143.9,110596675.9,111545065.6,120229055.4,120511353.9,119904107,123070697.7,120306062.3,104138513.1,97043645.3,89993727.55,77618724.43,64375249.53,57949600.82,59203507.92,62548484.88,59411786.34,56995664.55,55462614.65,55564320.88,55682492,57118160.66,60772938.1,62056114.05,64868493.79,64271205.85,66417028.53,61962237.43,63883286.75,62822733.16,63706587.32,64462302.16,63794064.85,59290986.03,60941998.34,62699202.69,65456075.22
Belgium,BEL,9332208,10167600,11409696,11787088,13058496,13377264,13212384,13754656,14450816,14897824,15212928,16458688,16345104,17228128,18081840,19060128,20529392,22233152,20100704,21650576,24746656,23717072,25589376,28106544,25915472,26930400,26318512,25050768,27238176,27732816,30425856,30631040,32437392,34382976,33870016,33082256,32103968,33968944,36053760,36834192,39824016,37779504,37728208,36075744,39831344,40131792,42278896,43744496,45085520,47126368,49665520,46708672,48855776,52629696,50350688,50266416,57495488,58323552,57847232,57762960,61287728,61687104,64775856,68014832,40575136,34419616,45792672,36247952,33723456,44869344,55154192,50533888,55908976,71884016,76255168,78039536,77684128,90475152,88258432,96967760,93684816,84132768,67721712,72664448,74965440,71649520,75013072,90310272,79131408,73719680,62104800,65186224,61078880,57854560,33140880,38757792,56418272,82040624,85070752,80783872,76214864,89467552,83480576,82392368,85752256,92036016,96799216,96506096,87701504,88310099.59,90908082.89,92698293.81,98018303.67,105676390.5,103553991.9,105330794.1,105096744.7,107361006.7,118437575.9,123491757.1,125490457.9,121370584.4,130637835.5,138639394.5,134950439.5,121823420.7,129678113.9,126199950.4,135450969.9,139787307.4,134836647,123574465.3,117102776.2,101202693.3,104967454.8,104005442.8,102367813.6,102589820.2,99744148.31,106793547.3,120481838.5,123543218.1,122655910.1,121555272,124938749.1,126080410.9,129579154,124042519.5,130281497.4,124702990.6,126769130.4,126119618.2,126304979.7,127806431.2,128830183.3,125519712.6,123832913.8,120444865.8,120352128.5,107699337.1,113814067.7,104319177.7,101514570.2,101578965.8,95906477.21,99753295.16,98421540.45,97563567.49,99665212.18
Belize,BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18320,25648,25648,29312,29312,29312,29312,29312,40304,40304,43968,36640,69616,62288,84272,84272,80608,120912,102592,135568,120912,142896,157552,146560,153888,175872,175872,197856,216176,208848,190528,183200,172208,172208,172208,190528,205184,227168,249152,300448,311440,406704,355408,377392,373728,377392,307776,388384,370064,348080,395712,447008,432352,432352,392048,421360,443344,476320,436016,586240,538608,600896,476320,512960,494640,578912,567920,566419.7925,574498.1429
