country,code,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Denmark,DNK,340752,311440,333424,359072,458000,454336,648528,663184,490976,626544,542272,784096,677840,754784,648528,1014928,937984,916000,1084544,945312,1143168,1187136,1139504,1150496,1242096,1458272,1542544,1524224,1447280,1634144,1861312,1971232,2114128,2429232,2418240,2535488,2429232,2491520,2802960,2993488,2868912,3085088,3169360,2997152,3400192,3524768,4312528,4623968,4803504,5250512,5147920,5360432,5503328,5726832,6177504,6008960,6543904,5833088,7236400,8005840,7349984,7829968,9284576,9526400,9764560,10453392,10215232,7434256,8676352,8236672,7192432,6793056,9650976,10526672,12340352,10720864,10468048,13325968,12560192,15128656,13809616,14322576,13428560,13373600,14645008,15253232,15780848,16297472,14634016,16304800,14824544,17400336,16473344,20624656,20283904,14044112,17645824,21456384,17074240,16883712,21991328,21925376,22903664,23156480,25582048,27069632,26377136,24904208,26794832,26034430.9,29749520.4,31701867.08,36889883.72,40667912.81,43146925.95,44293370.99,50078410.97,49026426.94,53272676.07,59342586.85,62039319.95,57009469.25,59593892.96,59221798.42,55041503.42,55744580.4,60102334.33,61817351.8,61095818.38,62977605.84,60347892.37,51772551.22,53683817.87,50167294.25,50855819.27,60064574.53,58906217.47,58345549.43,55111407.04,48807734.06,53557630.62,64174848.62,58364685.66,60612170.21,64673884.57,61584400.56,74832058.35,65431807.89,61201875.61,58620943.01,54278508.14,55867420.44,55529715.2,60615411.75,55069116.29,51497575.48,59417671.28,54643978.49,51230969.9,48837045.37,49168741.33,44211255.47,39835825.31,41734415.2,37535048.06,35204151.09,37019437.64,34794648.92,34809711.46
Djibouti,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10992,25648,25648,29312,32976,36640,29312,43968,47632,36640,40304,43968,47632,65952,84272,120912,139232,87936,120912,84272,139232,161216,190528,179536,194192,197856,197856,197856,201520,362736,348080,300448,348080,348080,351744,359072,377392,388384,348080,388384,322432,337088,337088,337088,329760,329760,333424,348080,340752,340752,366400,366400,399376,421360,406704,414032,410368,461664,498304,458000,516624,472656,479984,555542.4313,593144.4824,606985.5469,599657.5469,628017.0743,644198.1714
Dominica,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664,7328,3664,3664,3664,3664,3664,7328,10992,10992,10992,10992,14656,14656,14656,14656,21984,21984,18320,25648,25648,25648,25648,29312,29312,29312,25648,25648,32976,36640,36640,40304,40304,43968,47632,47632,47632,54960,58624,58624,58624,58624,62288,65952,80608,73280,80608,76944,80608,102592,109920,102592,117248,142896,142896,142896,183200,164880,161216,172208,153888,164880,168544,175872,175872,179536,181104.8733,182407.4896
Dominican Republic,DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7328,21984,25648,348080,359072,593568,619216,626544,916000,985616,1033248,1066224,1113083.386,1039892.534,1028636.463,1241115.375,1248502.807,1746509.648,1545348.276,1669654.796,1566943.932,2347316.5,2651163.229,3105081.034,3518697.012,4668866.137,5958980.443,6409563.296,6332680.102,6322352.631,5598919.585,5430323.893,6785585.604,6427008.841,6135240.1,6303485.676,7865594.85,7390464.559,7241543.357,8121058.522,9687289.595,9739754.907,10257903.27,9151689.383,9952593.61,10822367.97,11667178.89,12376794.03,15771362.94,17197656.66,17904568.59,18248536.44,18383894.48,19593640.47,19593788.75,21074296.25,21259885.42,18069735.4,18380202.01,19420466.33,20756432.18,20269016.28,19813658.54,20574429.09,21319193.54,21493743.88,20990691.79,21572064.41,23542992.21,24665716.15,24403751.87,24857295.13
Ecuador,ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25648,25648,25648,25648,25648,25648,36640,43968,69616,91600,234496,472656,600896,677840,765776,710816,725472,732800,784096,875696,974624,1029584,1069888,1088208,729136,1051568,1055232,1326368,1227440,1102864,1157824,1286064,1300720,740128,703488,894016,820736,963632,1198128,1297056,1132176,1322704,1292767.966,1761581.671,1644244.523,1563666.239,1794319.943,2142281.08,2274036.5,2416724.489,2588873.057,3112646.762,3588875.732,4278214.784,4219443.493,4589030.75,5255878.75,6083555.029,7354905.012,8100596.093,7472201.119,10406424.25,12140464.16,13407168.33,16652800.4,19235118.37,19502608.54,21189502.75,19352677.92,15194064.73,15022251.01,17168596.4,20153709.8,16710583.14,16377625.57,22157328.98,24087388.71,13538501.37,22697911.22,24025485.48,18205056.4,22314743.35,21365020.48,20562642.17,22939494.88,24753138.01,26747879.31,28785844.78,29970060.13,28524600.62,31530621.71,33324937.62,35503217.19,35884097.21,35848401.72,31850942.2,40706546.7,45428404.59,42621862.94,40538325.32,39558559.84,41915373.79
Egypt,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10992,84272,40304,307776,91600,179536,421360,864704,688832,454336,560592,531280,468992,498304,553264,531280,567920,868368,923328,1022256,1007600,952640,872032,824400,747456,729136,688832,879360,2227712,3030128,3953456,3836208,4103680,4360160,4356496,4224592,4415120,6151856,7463568,10237216,10563312,10896736,10783152,11669840,10647584,9947760,11922656,13688704,12706859.03,16032730.98,17065917.76,18571110.36,21526858.88,25491247.44,27609456.76,26532150.32,19649910.25,22872625.59,19664750.77,21654010.85,23012403.94,25474997.95,23761075.77,26089140.29,31059912.35,34450449.91,37815064.62,39261006,42889505.9,45176027.79,50902684.11,56431167.48,56980476.07,63704312.02,63807232.87,74392898.04,74613520.66,74309478.17,71904562.1,75218923.26,77294806.57,79939460.13,92277583.18,84556495.5,94888432.06,93567504.51,107511969.8,121465258.7,124497394.3,140347602.6,124292754.8,125781450,146462077.3,149143693.5,165041737.5,176019518.2,185905188.6,195285433.9,202709705.6,198807731.5,213477342.6,215030190.9,209440124.5,222747931.4,219304044.4,233171221.7,237017787.8,238815715.8
El Salvador,SLV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267472,322432,388384,417696,468992,461664,527616,597232,597232,604233.125,618859.4091,582278.8409,648260.5569,1124521.125,1230747.409,1040249.125,1303819.398,1157259.398,1259791.966,1190235.398,1428306.25,1508825.102,1677220.523,1966587.375,1970043.364,2105462.784,2206732.975,2281687.409,2381372.35,2376721.457,2119433.824,1818731.087,1752098.322,1885364.588,1588299.137,1965338.283,1967496.175,2414491.976,2433068.449,2547245.802,2474497.723,3153180.163,3316818.069,3975271.086,4513916.02,4998209.798,4414695.808,5416592.486,5731667.179,5587158.14,5671879.255,5858161.495,6073740.344,6434281.775,6253663.021,6298030.143,6716898.951,6845867.669,6404984.633,6312649.333,6317045.024,6500473.849,6505744.529,6093602.432,6169455.096,6733711.096,7052479.096,7034759.113,7130178.07
Equatorial Guinea,GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10992,10992,10992,10992,29312,36640,36640,32976,47632,47632,21984,21984,21984,25648,25648,29312,25648,25648,29312,43968,36640,65952,87936,29312,51296,62288,62288,62288,69616,62288,58624,69616,73280,62288,80608,65952,80608,98928,106256,117248,62288,65952,65952,69616,76944,84272,128240,304112,183200,487312,458000,4330848,6349712,7687072,7053200,7525856,8174384,7859280,6422992,6771072,6888320,9390832,6979920,7694400,7302352,6023616,5649888,5725258.265,5687397.498
Eritrea,ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14656,7328,3664,10992,14656,18320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706832.6449,790408.6915,860665.6834,767682.9368,585810.7218,615095.241,604075.7602,625989.03,600270.2998,710119.5697,765008.8395,761274.1093,544934.7302,559352.6856,401688.3086,496973.2417,496995.5402,560169.7756,618429.2119,627327.5685,679033.5137,670492.7403,688812.7403,721475.0925,740111.2526
Estonia,EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32976,29312,21984,21984,14656,14656,14656,18320,25648,32976,40304,36640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10052641.06,10469369.78,10801196.97,11343914.45,12168356.08,12942051.05,13729927.03,14501963.54,15172057.96,15605445.64,16257381.04,17107667.27,18163588.83,19124903.09,19948697.23,20725882.78,21797684.18,22633804.54,23405437.34,24216800.71,24412985.07,25369513.38,24905479.63,25371015.02,25737357.23,25965355.91,27979936.26,28061727.9,27919567.86,28660434.63,28031944.93,37066768.96,34035525.71,24512276.38,19063692.75,19898631.31,18201616.19,18922961.04,18479896.67,16907218.38,15724708.49,15359840.53,15705740.21,15230923.46,17085347.46,17283779.57,17131673.84,16434835.75,20066840.74,17870845.21,14609892.78,19015593.53,19097849.34,17935885.32,19698107.42,18903759.79,15891008.08,17477485.31,18654468.67,19559059.84
Ethiopia,ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10992,10992,10992,0,0,0,0,3664,3664,87936,62288,98928,183200,271136,227168,241824,322432,318768,336998.8523,351625.1364,340633.1364,395533.7046,421212.7013,406525.7046,644479.8758,823983.9773,1072957.682,1725030.818,1666435.029,1651721.102,1849458.239,1406203.386,1750886.83,1736260.546,1208525.682,1174728.54,1046785.7,1368501.355,1844134.725,1817482.981,1860006.95,1473913.692,1834754.033,1650281.425,1798710.255,2195246.283,2554380.763,2640065.819,2794113.74,2985775.689,2957140.068,2937331.978,2994817.006,2196878.772,2505652.771,2794653.039,2979329.444,3147406.27,3094952.994,3463787.204,4263382.277,4430488.097,4871122.288,5158619.711,4955126.88,5316940.933,5839346.587,6416360.808,6477014.263,6337110.244,6889050.84,8099600.946,9912026.076,11823201.57,12875789.74,13937457.77,14621364.23,14935499.08
Faeroe Islands,FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40304,40304,54960,84272,76944,98928,113584,95264,117248,98928,58624,113584,117248,124576,120912,135568,139232,168544,183200,212512,256480,260144,234496,252816,300448,348080,329760,406704,399376,479984,421360,439680,458000,487312,498304,516624,490976,498304,527616,578912,703488,655856,648528,582576,575248,571584,600896,589904,622880,630208,688832,762112,725472,732800,747456,721808,677840,688832,630208,575248,630208,567920,589904,677840,597232,608224,630208,648025.1416,632784.193
Falkland Islands,FLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274800,355408,252816,102592,293120,300448,311440,311440,366400,102592,194192,153888,47632,47632,10992,10992,10992,18320,0,0,10992,10992,10992,14656,14656,14656,14656,14656,14656,14656,14656,25648,21984,21984,25648,29312,32976,36640,40304,40304,40304,40304,40304,40304,40304,43968,43968,47632,36640,36640,36640,43968,43968,47632,51296,51296,58624,58624,58624,58624,54960,54960,54960,54960,54960,0,0,0,0
Fiji,FJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120912,131904,157552,168544,157552,172208,194192,164880,175872,197856,194192,168544,230832,241824,424905.1364,344267.4205,322251.6552,355227.8473,395503.9887,432145.7367,520050.2728,549270.9312,578555.4091,629851.4091,670185.125,622581.0826,482997.41,764627.4034,709084.2532,836455.9557,792419.6719,1077173.087,835123.3716,708925.6364,577208.7838,572991.3495,598085.9151,471995.3727,549765.0983,625202.2227,806023.5021,663124.5147,739995.6936,743623.4442,738596.8094,753894.7391,813167.2598,782477.7012,761064.2148,775022.5991,833563.9481,1045982.81,879452.3446,1036074.547,1339983.393,1081006.034,1201372.859,1141139.521,877758.227,778559.5958,1201245.428,1067900.734,1041074.884,1316039.608,1622823.485,2130403.138,2018766.791,2070289.495,2125075.842
Finland,FIN,0,0,0,0,0,0,0,0,0,0,36640,73280,73280,76944,47632,62288,69616,62288,87936,69616,91600,113584,91600,87936,124576,84272,95264,113584,128240,76944,98928,98928,120912,117248,142896,219840,128240,128240,120912,161216,208848,219840,194192,194192,219840,234496,296784,516624,487312,736464,600896,421360,399376,512960,527616,586240,615552,886688,1406976,1282400,1062560,1315376,1483920,1663456,688832,106256,179536,120912,73280,238160,274800,282128,710816,1476592,1744064,1711088,1597504,2850592,3129056,3352560,2649072,3011808,3022800,3224320,3953456,3517440,4964720,6782064,5697520,4873120,2315648,3246304,2810288,3946128,2726016,641200,3282944,5452032,8460176,4935408,6547568,7980192,8658032,7569824,9156336,10929712,12171808,12245088,10610944,13555739.17,15086934.58,14921696.65,16790279.76,19336491.11,22827688.8,25300086.47,29488840.8,28587734.52,33281467.76,37896829.32,40355045.76,40536780.66,44106127.45,49320230.98,46608469.1,46025790.42,51198586.88,50137120.17,51825167.37,54237194.16,58139489.72,51403502.96,42976723.57,41463646.63,42147397.57,49549344.97,53214618.53,57533670.19,52058383.65,52448267.46,56971877.17,55230406.54,54285528.48,56352553.34,61716210.5,58145449.15,64062408.86,62722989.17,59373260.78,58894771.7,57038246.35,62536201.94,65059793.97,72657820.77,68960757.92,57042897.79,68384426.69,66760382.52,58612474.82,55923143.58,64097223.54,56578678.04,51222146.23,51756942.46,47656905.1,44123913.42,47241211.67,44704895.53,46989078.94
France,FRA,19617056,20038416,21569968,25340224,29213072,33071264,34632128,35280656,34595488,34991200,38131248,41241984,43524656,44187840,46829584,49302784,53560352,54278496,55531584,56942224,50537552,50262752,60924992,65849408,62643408,65259504,65358432,63925808,65222864,67498208,76148912,77984576,82308096,86320176,82912656,79713984,79072784,83290048,86653600,88797040,97817808,97982688,98121920,96330224,101899504,102775200,106281648,111261024,115045936,120300112,129276912,125004688,117662032,129342864,125997632,127426592,136568272,145596368,146713888,150095760,150612384,156907136,158577920,171112464,118350864,103233200,109689168,121604496,108450736,116141472,151777536,137909296,163150592,184189280,206634944,213827376,213732112,213039616,211636304,234305472,237654368,217513360,191795744,199405872,201369776,195390128,198097824,217722208,201798464,194617024,137737088,119922720,122505840,125257504,79992448,107172000,165253728,183639680,196522304,229076944,202307760,228761840,227021440,214585824,226391232,239024704,268545552,277548000,266207920,262289484.9,271360835.7,281373337.5,298866540.3,334226416.6,345538081.2,352111604.2,347604774.3,372475302.1,385101039,413759468.2,439625057.8,463131419.1,481587950.4,517542304.1,499968363,447748158.4,506614687.2,481907905.6,506740673.9,530280737.4,506084432.4,455490898.1,437888098.5,423827643.8,407176696.6,402321289.7,387274252.8,379536183.7,374480473.1,392741935.3,400863589.9,426268330.2,415628493.6,395747211.6,390531019.6,397565496,413078372.3,405971930.7,425437052.3,421641399.5,416069798.5,420719705.5,415932206.6,422633437,423710153.6,427036180.9,416072706.8,405571233.5,399276598,382165611.7,389833956.6,365234384.4,365844823.4,366851929.7,335415276.9,341105891,342955524.5,346533494.9,337913411.5
French Equatorial Africa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175872,234496,304112,256480,271136,267472,348080,373728,428688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7328,10992,10992,10992,14656,14656,14656,14656,18320,21984,21984,21984,21984,25648,29312,36640,43968,69616,84272,84272,102592,102592,102592,117248,102592,117248,274800,340752,329760,545936,373728,326096,362736,384720,355408,366400,366400,417696,516624,670512,630208,666848,703488,699824,615552,582576,487312,468992,611888,465328,465328,509296,458000,600896,571584,553264,472656,564256,556928,589904,637536,641200,589904,630208,732800,0,0,0,0
French Polynesia,PYF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43968,43968,51296,51296,29312,36640,58624,47632,65952,65952,84272,120912,139232,153888,161216,194192,227168,216176,208848,216176,212512,263808,274800,311440,282128,293120,329760,337088,421360,458000,586240,604560,608224,571584,542272,436016,432352,414032,425024,439680,428688,432352,450672,447008,494640,567920,677840,681504,736464,725472,780432,780432,765776,791424,795088,802416,773104,751120,758448,736464,765776,769440,789931.9846,811722.0091
Gabon,GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21984,131904,164880,87936,73280,190528,216176,381056,1011264,1960240,1432624,2081152,2843264,2737008,5309136,5448368,5364096,5703786.405,6306500.419,7554862.077,6746760.67,6624650.981,6564033.911,6543616.971,5508589.24,5979461.573,6298542.541,4950761.033,4009482.385,4320705.759,5757463.761,4485398.848,4521965.566,4917604.284,4974836.377,4374521.827,4606254.933,4753701.681,4774215.912,4957278.674,4787008.381,4669870.174,4772971.665,4543984.749,4613168.049,4656763.773,4857850.971,4142417.926,4089338.209,4151045.595,4221936.369,4771313.701,4919990.502,5029632.152,5257712.196,5301384.482,5241541.289,5291218.397,5313439.828,5358288.77
Gambia,GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14656,14656,10992,10992,14656,14656,18320,21984,25648,18320,18320,21984,25648,29312,29312,29312,32976,32976,36640,47632,47632,54960,65952,62288,62288,98928,98928,113584,139232,146560,157552,157552,161216,161216,172208,172208,161216,179536,183200,179536,197856,197856,197856,208848,208848,216176,219840,223504,241824,274800,274800,300448,300448,300448,322432,326096,351744,351744,366400,381056,432352,447008,454336,432352,512960,523952,531280,587662.8508,610631.7595
Georgia,GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10596247.58,11032797.38,11380331.33,11948503.22,12817325.49,13633754.09,14463821.28,15275911.58,15978320.73,16432280.58,17117112.7,18005324.63,19113959.67,20119309.71,20978761.8,21788324.65,22910433.81,23787286,24593277.18,25438731.11,25645090.42,26647744.36,26148244.18,26638352.35,27016528.61,27254253.25,29381257.86,29453831.4,29321984.58,30101719.15,29429925.47,27510772.33,21389984.27,15276944.41,9916289.912,6069035.405,2291420.173,4055119.282,4425143.438,4938622.206,4309761.469,4499408.966,3733720.637,3351383.348,3735507.02,4276236.634,5017000.326,6096129.118,6364776.177,5308236.745,6134870.695,6209130.051,7803741.655,8251069.59,8008748.753,8783465.454,9585023.111,9908866.581,10656867,10559834.26
Germany,DEU,15139648,16869056,19173712,20760224,24365600,28615840,30924160,32939360,35610416,33807728,36394512,41329920,45539856,49383392,56641776,63467808,62907216,69154336,74368208,77592528,76639888,85349216,92109296,98367408,71594560,101518448,103438384,101302272,104544912,110846992,124502720,134263616,143665440,153092912,157526352,161183024,163033344,170390656,186347376,198848944,208232448,220840272,214988864,220712032,229498304,238284576,256260160,273554240,285377968,303283936,326759184,325557392,319189360,343598928,356122480,382323744,361937248,442182512,446641600,445571712,445366528,458586240,499121072,535083232,497926608,462906096,500696592,524578544,503422608,387427696,429208288,473179952,455460848,331929088,451793184,458065952,413236912,481042896,504888208,538970736,461733616,385595696,347317888,364853792,408645920,452368432,499681664,563563504,601335680,648681888,654368416,660839040,667928880,679466816,600273120,116064528,271692928,317672464,377842672,432187120,510732288,576922448,611041616,623565168,659809456,723585040,766281632,777999104,756473104,755794580.9,813950210,834839623.1,883168603.4,945497985.5,968917485.6,960102238,951421992.6,936229417.7,984790813.2,1052000832,1026022305,1037236087,1041479508,1085736251,1062724340,1002443887,1090836540,1052604106,1079127232,1117882127,1100059450,1048516608,1015726852,1011597196,1033236627,1044110086,1047463241,1032433846,1029014344,1008781469,1052520133,1014440037,966176765.7,956517468.7,939908352.8,939542833.6,959606347.2,931750337.2,923823697.6,896312592.3,900376259.7,916912521.9,900387296.2,901409323.7,887457948.4,866640497.3,878076462.7,851418498.4,853771417,788923513.9,832387679.9,809748546.3,814137978.4,831570354.2,792793185.4,795939549,801654829.2,797966400.1,759001945.8
Ghana,GHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637536,875696,868368,1018592,1003936,1187136,1077216,1293392,1363008,1322704,1461936,1344688,1432624,1722080,1648800,1703760,1439952,1494912,1761462.807,1687473.163,2621641.046,2291524.455,2420239.909,2471446.762,2932754.171,2741631.853,2426597.205,2991522.759,2957430.825,2649224.065,2548058.463,3029858.889,3028435.384,3639025.248,2567062.279,3301673.955,3030343.689,3263615.172,3411199.24,3295020.352,3791471.378,4209515.61,3660928.218,4310656.77,5088715.671,5154176.342,5468617.234,6204170.799,6245892.706,6369458.535,6100546.075,6732552.291,7231478.893,7437285.495,7152116.097,6803420.796,9160029.484,9619301.329,8925880.602,7497872.349,9710739.416,11226207.25,14316379.83,14179784,14754491.45,16114714.58,16213219.06,17641498.83,18298425.48
